t_s,cmd_turns,pos_turns,vel_tps,trq_Nm
3.15,-0.05677,-0.05792,-0.002,-0.0532
3.16,-0.05684,-0.05797,-0.0016,-0.0454
3.17,-0.05692,-0.05791,0.0006,-0.0373
3.18,-0.057,-0.05798,0.0004,-0.0246
3.19,-0.05499,-0.05796,0.0011,0.0243
3.2,-0.05158,-0.05799,0.0007,0.0432
3.21,-0.05161,-0.058,0.0015,0.0425
3.22,-0.05164,-0.05796,-0.0029,0.0341
3.23,-0.05167,-0.05789,0.0033,0.018
3.24,-0.0517,-0.05793,0.0009,0.0184
3.25,-0.05173,-0.05792,-0.002,0.0069
3.26,-0.05175,-0.05798,0.0008,0.0232
3.27,-0.05173,-0.05798,-0.0023,0.0176
3.28,-0.05167,-0.058,0.0048,0.0052
3.29,-0.05159,-0.0579,-0.0014,0.0171
3.3,-0.05151,-0.0579,-0.0014,0.0182
3.31,-0.05143,-0.05798,-0.0013,0.0186
3.32,-0.05135,-0.05797,-0.0018,0.0204
3.33,-0.05126,-0.05796,0.0033,0.0327
3.34,-0.05111,-0.05796,0.0022,0.0355
3.35,-0.05093,-0.05795,0.0013,0.0481
3.36,-0.05074,-0.05797,-0.0044,0.0436
3.37,-0.05055,-0.05797,-0.0049,0.0495
3.38,-0.05035,-0.05799,0.001,0.0489
3.39,-0.05016,-0.05803,0.0013,0.0457
3.4,-0.04994,-0.05798,0.0011,0.0575
3.41,-0.04971,-0.05794,-0.0019,0.0612
3.42,-0.04945,-0.05797,0.0011,0.0508
3.43,-0.04918,-0.05788,-0.0016,0.0902
3.44,-0.04892,-0.05801,-0.0006,0.0885
3.45,-0.04866,-0.05796,-0.0002,0.0915
3.46,-0.0484,-0.05781,0.0045,0.084
3.47,-0.04813,-0.05784,0.0063,0.0925
3.48,-0.04784,-0.05767,0.0103,0.0922
3.49,-0.04755,-0.05777,0.011,0.0981
3.5,-0.04726,-0.05761,0.0181,0.1073
3.51,-0.04697,-0.05742,0.019,0.1259
3.52,-0.04668,-0.05738,0.0243,0.1172
3.53,-0.04639,-0.05707,0.0273,0.1134
3.54,-0.0461,-0.05674,0.0313,0.0982
3.55,-0.04581,-0.05632,0.0352,0.0895
3.56,-0.04552,-0.05571,0.0429,0.0956
3.57,-0.04522,-0.0552,0.0417,0.122
3.58,-0.04493,-0.05483,0.0474,0.085
3.59,-0.04464,-0.05438,0.0477,0.0993
3.6,-0.04434,-0.05375,0.0519,0.1054
3.61,-0.04405,-0.05324,0.054,0.0858
3.62,-0.04376,-0.05265,0.0599,0.107
3.63,-0.04347,-0.05234,0.0627,0.1253
3.64,-0.04318,-0.05176,0.0667,0.1173
3.65,-0.04289,-0.05127,0.0679,0.1118
3.66,-0.0426,-0.05075,0.07,0.1411
3.67,-0.04231,-0.05018,0.075,0.0764
3.68,-0.04203,-0.04962,0.0763,0.0968
3.69,-0.04174,-0.04907,0.0802,0.0893
3.7,-0.04146,-0.04847,0.0823,0.0963
3.71,-0.04117,-0.04779,0.0806,0.1052
