t_s,cmd_turns,pos_turns,vel_tps,trq_Nm
3.74,-0.04032,-0.07498,-0.0003,0.0493
3.75,-0.04004,-0.07494,0.0002,0.0506
3.76,-0.03977,-0.07504,-0.001,0.0603
3.77,-0.03949,-0.07487,0.0008,0.0617
3.78,-0.03921,-0.07484,0.0005,0.0489
3.79,-0.03893,-0.07491,0.0006,0.0532
3.8,-0.03865,-0.07497,0.001,0.0766
3.81,-0.03838,-0.07487,0.0028,0.0677
3.82,-0.0381,-0.07489,-0.0003,0.0719
3.83,-0.03783,-0.07495,-0.002,0.0618
3.84,-0.03756,-0.07496,0.0016,0.0594
3.85,-0.03729,-0.07485,0.0008,0.0643
3.86,-0.03701,-0.07488,0.0025,0.0598
3.87,-0.03674,-0.07499,0.0019,0.0736
3.88,-0.03647,-0.07486,0.0017,0.0803
3.89,-0.03621,-0.07489,-0.0006,0.0732
3.9,-0.03594,-0.07501,0.0005,0.0777
3.91,-0.03567,-0.07488,-0.0013,0.0868
3.92,-0.03541,-0.07492,0.001,0.0885
3.93,-0.03514,-0.07492,0.0002,0.0786
3.94,-0.03488,-0.07493,0.0009,0.0959
3.95,-0.03462,-0.07493,-0.0008,0.089
3.96,-0.03436,-0.07493,0.0007,0.0957
3.97,-0.0341,-0.07486,-0.0007,0.0792
3.98,-0.03384,-0.07491,-0.0009,0.0911
3.99,-0.03358,-0.07493,-0.0015,0.1023
4,-0.03331,-0.0749,0.0019,0.0876
4.01,-0.03306,-0.07487,0.0009,0.107
4.02,-0.03281,-0.07489,0.0008,0.1081
4.03,-0.03256,-0.07491,0,0.0996
4.04,-0.03231,-0.07488,0.0012,0.1096
4.05,-0.03205,-0.07484,0.001,0.1006
4.06,-0.0318,-0.0749,-0.0001,0.1104
4.07,-0.03155,-0.07487,0.0007,0.127
4.08,-0.03131,-0.07494,0.0017,0.1147
4.09,-0.03106,-0.07501,-0.0014,0.1115
4.1,-0.03082,-0.07489,0,0.1226
4.11,-0.03057,-0.07495,-0.002,0.1167
4.12,-0.03033,-0.07493,-0.0011,0.1351
4.13,-0.03008,-0.07491,-0.0016,0.1274
4.14,-0.02984,-0.07491,-0.0005,0.1412
4.15,-0.0296,-0.07486,-0.0026,0.1313
4.16,-0.02936,-0.07495,0.0001,0.137
4.17,-0.02912,-0.07496,-0.0007,0.1488
4.18,-0.02888,-0.07491,0.0018,0.1411
4.19,-0.02864,-0.0749,0.0006,0.1513
4.2,-0.02841,-0.0748,0.0049,0.1491
4.21,-0.02817,-0.07485,0.0035,0.1535
4.22,-0.02794,-0.0749,0.0012,0.1538
4.23,-0.02771,-0.07489,0.0044,0.149
4.24,-0.02748,-0.07487,0.0017,0.1627
4.25,-0.02725,-0.07488,0.0075,0.1613
4.26,-0.02701,-0.07475,0.0042,0.1631
4.27,-0.02678,-0.07486,0.0066,0.1734
4.28,-0.02656,-0.07469,0.0092,0.1671
4.29,-0.02633,-0.07456,0.0115,0.1771
4.3,-0.02611,-0.07448,0.0143,0.1394
4.31,-0.02588,-0.07433,0.0157,0.1617
4.32,-0.02566,-0.07408,0.0217,0.1528
4.33,-0.02544,-0.07382,0.023,0.1877
4.34,-0.02522,-0.0737,0.0228,0.1779
4.35,-0.025,-0.0734,0.0264,0.1889
4.36,-0.02478,-0.07318,0.0309,0.1417
